District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
125,Banswara,1797485,2734,2324,Rajasthan,23.453642032967014,74.44246868131869,46.0,98.0
126,Chittaurgarh,1544338,3238,4941,Rajasthan,24.631623761665463,74.80010997846382,53.0,97.0
127,Kota,1951014,3394,12843,Rajasthan,25.175718080000014,76.18618928000001,67.0,91.0
128,Baran,1222755,1741,1363,Rajasthan,24.98023243243244,76.86210651828291,57.0,93.0
129,Jhalawar,1411129,1962,1750,Rajasthan,24.24725541474657,76.11242891705065,52.0,95.0
130,Udaipur,3068420,5101,14211,Rajasthan,24.44076752136749,73.84029839743584,52.0,96.0
131,Pratapgarh,867848,2829,716,Uttar Pradesh,25.864842731707316,81.93530048780492,46.0,98.0
173,Pratapgarh,3209141,3639,5149,Uttar Pradesh,25.864842731707316,81.93530048780492,60.0,100.0
132,Saharanpur,3466382,4029,9699,Uttar Pradesh,30.03381165217392,77.59905147826095,60.0,89.0
133,Muzaffarnagar,4143512,4871,10077,Uttar Pradesh,29.470507977736563,77.64017847866423,58.0,89.0
134,Bijnor,3682713,4310,7303,Uttar Pradesh,29.313974259681096,78.45098815489754,58.0,92.0
135,Moradabad,4772006,5452,11690,Uttar Pradesh,28.851770406189537,78.73580193423597,47.0,91.0
136,Rampur,2335819,2545,3847,Uttar Pradesh,28.83244727272725,79.10977333333337,45.0,91.0
137,Jyotiba Phule Nagar,1840221,2074,2825,Uttar Pradesh,28.870498984771597,78.39009365482241,53.0,91.0
138,Meerut,3443689,4953,23717,Uttar Pradesh,29.02957625698323,77.80611005586593,62.0,89.0
139,Baghpat,1303048,1514,2989,Uttar Pradesh,29.045793499999988,77.30266300000001,61.0,86.0
140,Ghaziabad,4681645,5946,78116,Uttar Pradesh,28.74997308584685,77.67441879350343,67.0,88.0
141,Gautam Buddha Nagar,1648115,2578,53181,Uttar Pradesh,28.393311038961038,77.52462467532465,68.0,85.0
142,Bulandshahr,3499171,4534,7865,Uttar Pradesh,28.34875862068968,78.01082758620684,58.0,90.0
143,Aligarh,3673889,4290,13634,Uttar Pradesh,27.93748576850093,78.00146831119557,57.0,88.0
145,Mathura,2547184,3025,8726,Uttar Pradesh,27.59390432801821,77.62153416856502,59.0,86.0
146,Agra,4418797,5982,27183,Uttar Pradesh,26.99512974910393,78.05278291517321,61.0,87.0
147,Firozabad,2498156,2940,5834,Uttar Pradesh,27.20963993055552,78.42660624999998,61.0,88.0
148,Mainpuri,1868529,1998,2642,Uttar Pradesh,27.17386862302482,79.03501851015807,64.0,88.0
150,Bareilly,4448359,5126,15164,Uttar Pradesh,28.51101940789474,79.43187072368416,49.0,89.0
151,Pilibhit,2031007,2125,2870,Uttar Pradesh,28.52024175035868,79.90103974175037,52.0,89.0
152,Shahjahanpur,3006538,3441,3889,Uttar Pradesh,27.991389350649328,79.8302275324675,50.0,87.0
154,Sitapur,4483992,4535,3874,Uttar Pradesh,27.501995963091108,80.85288881199547,51.0,89.0
155,Hardoi,4092845,4209,3845,Uttar Pradesh,27.337409090909137,80.26411767676768,54.0,87.0
156,Unnao,3108367,3620,3476,Uttar Pradesh,26.63163990895297,80.636773292868,57.0,91.0
157,Lucknow,4589838,7486,68506,Uttar Pradesh,26.838233589251463,80.89706026871404,68.0,92.0
158,Rae Bareli,3405559,3812,5184,Uttar Pradesh,26.253902840059787,81.22260463378181,58.0,94.0
159,Farrukhabad,1885204,2058,2624,Uttar Pradesh,27.45063297872342,79.4406284574468,58.0,87.0
160,Kannauj,1656616,1730,2488,Uttar Pradesh,26.993988617886185,79.64437940379408,61.0,88.0
161,Etawah,1581810,1825,2964,Uttar Pradesh,26.78817670157068,79.07621806282728,67.0,87.0
162,Auraiya,1379545,1510,2404,Uttar Pradesh,26.66892394014961,79.42637057356607,67.0,86.0
163,Kanpur Dehat,1796184,2056,2682,Uttar Pradesh,26.43047641196011,79.98710083056478,65.0,86.0
165,Jalaun,1689974,1906,2217,Uttar Pradesh,26.067954587155988,79.36686911314993,64.0,87.0
166,Jhansi,1998603,2651,8517,Uttar Pradesh,25.45581535234902,78.89954580536917,65.0,89.0
167,Lalitpur,1221592,1287,1079,Uttar Pradesh,24.58877161016945,78.60082330508473,52.0,91.0
169,Mahoba,875958,904,1316,Uttar Pradesh,25.34529670138888,79.67863003472216,56.0,88.0
170,Banda,1799410,1949,1655,Uttar Pradesh,25.351885902503284,80.52487391304344,56.0,86.0
171,Chitrakoot,991730,1019,827,Uttar Pradesh,25.159924623803,81.07666087551297,54.0,88.0
172,Fatehpur,2632733,2868,3385,Uttar Pradesh,25.8374362030905,80.85416203090509,57.0,90.0
174,Kaushambi,1599596,1645,1503,Uttar Pradesh,25.53587532051282,81.41811282051287,51.0,91.0
175,Allahabad,5954391,7224,24122,Uttar Pradesh,25.392038662316445,82.05172446982063,62.0,90.0
176,Bara Banki,3260699,3230,3159,Uttar Pradesh,26.922777025232424,81.35762350597606,52.0,91.0
177,Faizabad,2470996,2985,4746,Uttar Pradesh,26.60589185185181,82.00783530864202,59.0,96.0
178,Ambedkar Nagar,2397888,2797,2509,Uttar Pradesh,26.39119025974028,82.68282142857147,62.0,98.0
179,Sultanpur,3797117,4190,5956,Uttar Pradesh,26.2846386419753,82.05710456790123,59.0,98.0
180,Bahraich,3487731,3060,2681,Uttar Pradesh,27.691776300578027,81.46779783237004,40.0,89.0
182,Balrampur,2148665,2174,1551,Uttar Pradesh,27.449076537911324,82.47158326180256,40.0,93.0
183,Gonda,3433919,3614,4313,Uttar Pradesh,27.157215552099505,82.0226888024882,49.0,92.0
185,Basti,2464464,2775,3423,Uttar Pradesh,26.833880454545447,82.69790590909092,57.0,96.0
186,Sant Kabir Nagar,1715183,1850,2031,Uttar Pradesh,26.791596516393444,83.0387764344262,56.0,97.0
188,Gorakhpur,4440895,5455,14597,Uttar Pradesh,26.63315886792452,83.3549560377358,61.0,95.0
189,Kushinagar,3564544,3704,3486,Uttar Pradesh,26.892530675909864,83.92261542461007,55.0,96.0
190,Deoria,3100946,3643,4469,Uttar Pradesh,26.42218856548857,83.8244070686071,60.0,102.0
191,Azamgarh,4613913,5419,6652,Uttar Pradesh,26.008290954773837,83.01220251256285,60.0,102.0
192,Mau,2205968,2693,2656,Uttar Pradesh,26.01082203791469,83.50582654028433,62.0,98.0
193,Ballia,3239774,3634,4672,Uttar Pradesh,25.86075638297873,84.03651978723408,61.0,94.0
194,Jaunpur,4494204,5261,8002,Uttar Pradesh,25.70141280913127,82.54315351934063,61.0,102.0
195,Ghazipur,3620268,4079,5309,Uttar Pradesh,25.624724775583484,83.5360854578097,61.0,95.0
196,Chandauli,1952756,2183,3492,Uttar Pradesh,25.1180859611231,83.25307062634984,60.0,92.0
197,Varanasi,3676841,5059,19214,Uttar Pradesh,25.36057088888889,82.82529666666672,65.0,91.0
199,Mirzapur,2496970,2875,4447,Uttar Pradesh,25.10207959183675,82.60126628571429,57.0,90.0
200,Sonbhadra,1862559,2337,5149,Uttar Pradesh,24.46693268858798,83.06816324951639,53.0,92.0
201,Etah,1774480,3461,2635,Uttar Pradesh,27.591155309734443,78.70021858407083,59.0,87.0
203,Pashchim Champaran,3935042,3181,3495,Bihar,27.16064352201258,84.30265911949685,45.0,91.0
204,Purba Champaran,5099371,4098,7719,Bihar,26.68129336734693,85.00382155612242,45.0,90.0
205,Sheohar,656246,489,478,Bihar,26.458380748663107,85.29539411764709,43.0,89.0
206,Sitamarhi,3423574,2679,3460,Bihar,26.56570069686413,85.61172491289203,42.0,90.0
207,Madhubani,4487379,3520,5319,Bihar,26.41380538172716,86.16328360450552,48.0,93.0
208,Supaul,2229076,1836,1845,Bihar,26.28157893772896,86.78496465201461,46.0,93.0
209,Araria,2811569,2035,2561,Bihar,26.211528119180603,87.30766554934816,43.0,92.0
210,Kishanganj,1690400,1347,1093,Bihar,26.324336758321294,87.95045007235886,44.0,95.0
211,Purnia,3264619,2641,4170,Bihar,25.81714801901739,87.40447606973065,41.0,92.0
